seed,baseline,reward_delta,cost_usd_delta,delivered_kwh_delta,unmet_kwh_delta,demand_kwh_delta,fulfillment_delta,completion_rate_delta,solar_fraction_delta,peak_grid_kw_delta
11,edf,-11.845357844004822,-0.49624460194240616,-2.4683204891894452,2.4683204891894457,0.0,-0.06599784819179583,-0.06288364413364414,0.004835887557675677,0.0
23,edf,-25.19588334952909,-1.0879055272154854,-5.256757775348915,5.256757775348916,0.0,-0.15192134475332453,-0.04667346542346543,0.06731241812724809,6.1679056923619804e-18
37,edf,-19.549295018751817,-1.581187288438956,-4.226096461438154,4.226096461438155,0.0,-0.10825509945083356,0.0034576534576534596,0.04414400601281075,1.2335811384723961e-17
51,edf,-4.3000879807091845,-0.2119354093530129,-0.9024046780124398,0.9024046780124403,0.0,-0.02445336582506584,0.02665112665112665,0.0026807345736479696,-1.2335811384723961e-17
71,edf,-12.423224671577959,-0.5542298679626136,-2.5954909079081134,2.595490907908114,0.0,-0.08006173948598636,-0.037456293706293706,0.033376848340261396,1.2335811384723961e-17
11,fcfs,-9.418758326484804,-0.3290907940333475,-1.9495698241036297,1.9495698241036297,0.0,-0.04856773727684664,-0.18317307692307694,-0.0009507934712338256,0.00120670987348509
23,fcfs,-22.749515629131235,-0.9338365897443619,-4.736670443775119,4.73667044377512,0.0,-0.1339649915569596,-0.14116647241647243,0.06157010541261295,6.1679056923619804e-18
37,fcfs,-17.376498382824455,-1.4382071960066798,-3.7629411157662274,3.7629411157662274,0.0,-0.09303565495669318,-0.10853729603729603,0.03772580568377613,6.1679056923619804e-18
51,fcfs,-1.7321586577535966,-0.05421814472549951,-0.3572753604958198,0.35727536049582,0.0,-0.0066647369346586926,-0.08191530691530692,-0.0033026708222754866,-6.1679056923619804e-18
71,fcfs,-9.737752974813278,-0.40348978100996225,-2.0282485511646473,2.028248551164647,0.0,-0.061053271727584214,-0.14793609168609168,0.026953795859347648,0.0
11,local_q,-0.5635528082332777,0.08882027951957772,-0.09494650574274018,0.09494650574273976,0.0,0.007663411428346338,-0.07837995337995338,-0.013567223692261194,0.005366951443638758
23,local_q,-7.858250982338212,-0.5490137417433933,-1.6814529448163211,1.6814529448163213,0.0,-0.06768879543967771,-0.022775835275835276,0.0820866098808379,1.2335811384723961e-17
37,local_q,-6.573486627330846,-1.004219861678069,-1.5155412978017835,1.5155412978017835,0.0,-0.040531312225316335,-0.03556721056721057,0.04500288948990181,1.850371707708594e-17
51,local_q,13.045795024602894,0.3336069096587187,2.6758803868523215,-2.6758803868523224,0.0,0.07226850297688399,-0.013019619269619268,-0.023248981205669123,6.1679056923619804e-18
71,local_q,15.809872462226956,0.6146590538812214,3.284906303221636,-3.2849063032216366,0.0,0.0699244800281364,-0.03256118881118881,0.000304263895933922,3.700743415417188e-17
11,pooled_q,12.669316824156704,1.264214338125037,2.786706232456349,-2.78670623245635,0.0,0.06794838418596552,-0.007182400932400933,-0.033265129178923915,0.0
23,pooled_q,-15.36533730554084,-0.468437650804919,-3.1667549912691526,3.166754991269153,0.0,-0.08901484626834004,-0.11513209013209014,0.049402187369375725,0.0
37,pooled_q,8.962056135798353,-0.5809509084065221,1.6762210454783661,-1.6762210454783664,0.0,0.05472710370137535,-0.015238927738927738,-0.0006524498747391411,0.005044746074727855
51,pooled_q,4.186723995662181,0.3041703965222465,0.8981788784368853,-0.8981788784368856,0.0,0.02597322000543671,0.004433760683760678,-0.010302067711831736,-6.1679056923619804e-18
71,pooled_q,2.554977398234192,0.009063794203196425,0.5128082384874779,-0.5128082384874784,0.0,0.012393068295714144,-0.019585275835275834,-0.0013582128117407618,0.0
11,shortest_remaining,-4.2142310246457555,-0.05624193498000127,-0.8540945919251507,0.8540945919251497,0.0,-0.017345679987685183,-0.30687645687645687,-0.012624136150642073,0.0012067098734851024
23,shortest_remaining,-16.80276278480162,-0.6322787255566341,-3.4870083020716507,3.4870083020716507,0.0,-0.09642371826421713,-0.25989219114219114,0.050084014365048904,2.4671622769447922e-17
37,shortest_remaining,-11.268251789746703,-1.1034925932298913,-2.4743488765953194,2.474348876595319,0.0,-0.056052827919260376,-0.21634615384615383,0.024602880352121038,2.4671622769447922e-17
51,shortest_remaining,3.989497053954598,0.23744110009232228,0.8453876308093831,-0.8453876308093841,0.0,0.02715318702179238,-0.20397727272727273,-0.014962017761024689,1.2335811384723961e-17
71,shortest_remaining,-3.992420876687031,-0.11455092219514297,-0.8213943597764346,0.8213943597764337,0.0,-0.02566641669697075,-0.26922105672105673,0.013536197548996334,1.2335811384723961e-17
11,solar_only,69.01597905651572,3.482889066052378,14.499773624513617,-14.49977362451362,0.0,0.3985241391827336,0.22387820512820514,-0.8133640290095441,1.5
23,solar_only,54.47827194525274,2.7927954755110465,11.454213484152756,-11.454213484152758,0.0,0.30994167261398026,0.27097416472416475,-0.7458136513823653,1.5
37,solar_only,59.05340995550537,2.299404921354788,12.27056297537203,-12.270562975372032,0.0,0.3420813262562463,0.304705710955711,-0.751067762476453,1.5
51,solar_only,76.29634395985698,3.6897458628130306,15.997217964534,-15.997217964534002,0.0,0.4420549121863856,0.330487567987568,-0.8006191146501876,1.5
71,solar_only,66.62087321353542,3.309023553765166,13.985979353460115,-13.985979353460118,0.0,0.3768134573728986,0.25819250194250193,-0.7783316669105518,1.5
