method,slot,delivered_kwh,solar_kwh,grid_kwh,cost_usd,missed_kwh,reward,action
fcfs,0,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,1,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,2,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,3,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,4,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,5,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,6,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,7,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,8,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,9,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,10,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,11,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,12,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,13,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,14,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,15,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,16,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,17,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,18,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,19,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,20,0.175,0.0,0.175,0.017499999999999998,0,0.1575,fcfs
fcfs,21,0.175,0.0,0.175,0.017499999999999998,0,0.1575,fcfs
fcfs,22,0.26249999999999996,0.0,0.26249999999999996,0.026249999999999996,0,0.23624999999999996,fcfs
fcfs,23,0.26249999999999996,0.0,0.26249999999999996,0.026249999999999996,0,0.23624999999999996,fcfs
fcfs,24,0.375,0.0,0.375,0.037500000000000006,0,0.3375,fcfs
fcfs,25,0.3896564362550785,0.014656436255078531,0.375,0.037500000000000006,0,0.35215643625507853,fcfs
fcfs,26,0.35,0.029250111400015787,0.3207498885999842,0.032074988859998425,0,0.31792501114000155,fcfs
fcfs,27,0.4187185330773794,0.04371853307737938,0.375,0.037500000000000006,0,0.3812185330773794,fcfs
fcfs,28,0.43299974528431434,0.057999745284314334,0.375,0.0675,0,0.36549974528431434,fcfs
fcfs,29,0.44703259367765896,0.07203259367765896,0.375,0.0675,0,0.37953259367765896,fcfs
fcfs,30,0.45214538951253913,0.08575698744623089,0.36638840206630824,0.06594991237193548,0,0.38619547714060365,fcfs
fcfs,31,0.4741141566289058,0.09911415662890583,0.375,0.0675,0.0,0.4066141566289058,fcfs
fcfs,32,0.48704690377661364,0.11204690377661361,0.375,0.0675,0.0,0.41954690377661363,fcfs
fcfs,33,0.4994998488805964,0.12449984888059637,0.375,0.0675,0.0,0.4319998488805964,fcfs
fcfs,34,0.5114196665181079,0.13641966651810788,0.375,0.0675,0,0.4439196665181079,fcfs
fcfs,35,0.5013726947160853,0.1477553142000606,0.35361738051602465,0.06365112849288443,0,0.4377215662232008,fcfs
fcfs,36,0.44487996184093204,0.15845825094280014,0.2864217108981319,0.05155590796166374,0.22837005393247503,-0.5201561618506318,fcfs
fcfs,37,0.5099698106634232,0.1684826451280494,0.3414871655353738,0.06146768979636728,0.0,0.4485021208670559,fcfs
fcfs,38,0.525,0.1777855707609341,0.3472144292390659,0.06249859726303186,0,0.46250140273696816,fcfs
fcfs,39,0.525,0.18632719128568304,0.338672808714317,0.060961105568577055,0,0.464038894431423,fcfs
fcfs,40,0.525,0.1940709301718759,0.3309290698281241,0.05956723256906234,0,0.4654327674309377,fcfs
fcfs,41,0.5077995217430037,0.2009836275407616,0.3068158942022421,0.05522686095640358,0,0.45257266078660013,fcfs
fcfs,42,0.51234515692143,0.2070356821609499,0.3053094747604801,0.05495570545688642,0.0,0.4573894514645436,fcfs
fcfs,43,0.5127133713949544,0.21220117820542875,0.3005121931895257,0.05409219477411462,0.3184492528040782,-0.815175834595473,fcfs
fcfs,44,0.525,0.21645799622711454,0.3085420037728855,0.055537560679119385,0.31432567320491245,-0.7878402534987692,fcfs
fcfs,45,0.4599444098052201,0.21978790787771957,0.24015650192750054,0.0432281703469501,0,0.41671623945827,fcfs
fcfs,46,0.47191291182353534,0.22217665396433872,0.24973625785919662,0.04495252641465539,0,0.4269603854088799,fcfs
fcfs,47,0.525,0.2236140055095022,0.30138599449049785,0.054249479008289615,0.11747230842077042,0.000861287308628722,fcfs
fcfs,48,0.5058964673362538,0.22409380755322728,0.28180265978302654,0.050724478760944776,0.0,0.45517198857530905,fcfs
fcfs,49,0.525,0.2236140055095022,0.30138599449049785,0.054249479008289615,0.0,0.4707505209917104,fcfs
fcfs,50,0.525,0.22217665396433872,0.3028233460356613,0.05450820228641903,0.6649003661742794,-2.1891096669835366,fcfs
fcfs,51,0.45988851111737405,0.21978790787771957,0.2401006032396545,0.04321810858313781,1.6596402724454502,-6.221890687247565,fcfs
fcfs,52,0.49289850662164814,0.21645799622711454,0.2764405103945336,0.04975929187101605,1.7164066809919802,-6.422487509217289,fcfs
fcfs,53,0.525,0.21220117820542878,0.31279882179457125,0.05630378792302282,0.0,0.4686962120769772,fcfs
fcfs,54,0.43792938657433766,0.2070356821609499,0.23089370441338777,0.0415608667944098,0,0.3963685197799279,fcfs
fcfs,55,0.525,0.2009836275407616,0.3240163724592384,0.058322947042662915,1.0179935705401517,-3.60529722920327,fcfs
fcfs,56,0.525,0.19407093017187596,0.3309290698281241,0.05956723256906234,0.0,0.4654327674309377,fcfs
fcfs,57,0.525,0.18632719128568304,0.338672808714317,0.060961105568577055,0,0.464038894431423,fcfs
fcfs,58,0.4735565537638218,0.1777855707609341,0.2957709830028877,0.05323877694051978,0,0.420317776823302,fcfs
fcfs,59,0.525,0.1684826451280494,0.35651735487195063,0.06417312387695111,0.8047637791253668,-2.7582282403784184,fcfs
fcfs,60,0.525,0.15845825094280017,0.36654174905719983,0.06597751483029597,0.0,0.45902248516970406,fcfs
fcfs,61,0.5095755095551584,0.1477553142000606,0.3618201953550978,0.0651276351639176,0.0,0.4444478743912408,fcfs
fcfs,62,0.4113685761425113,0.1364196665181079,0.27494890962440344,0.04949080373239262,0.0,0.3618777724101187,fcfs
fcfs,63,0.2979562864710066,0.12449984888059643,0.17345643759041016,0.031222158766273825,0.0,0.26673412770473276,fcfs
fcfs,64,0.22101399617903286,0.11204690377661361,0.10896709240241925,0.041407495112919315,0.0,0.17960650106611353,fcfs
fcfs,65,0.2362469800550628,0.09911415662890592,0.1371328234261569,0.052110472901939625,0.0,0.18413650715312319,fcfs
fcfs,66,0.127393079242268,0.08575698744623092,0.041636091796037084,0.015821714882494092,0,0.11157136435977391,fcfs
fcfs,67,0.0875,0.072032593677659,0.01546740632234099,0.005877614402489576,0.0,0.08162238559751042,fcfs
fcfs,68,0.0875,0.0579997452843144,0.029500254715685598,0.011210096791960528,0.0,0.07628990320803947,fcfs
fcfs,69,0.0875,0.04371853307737936,0.04378146692262064,0.01663695743059584,0,0.07086304256940415,fcfs
fcfs,70,0.0875,0.02925011140001588,0.05824988859998412,0.022134957667993966,0,0.06536504233200603,fcfs
fcfs,71,0.0875,0.014656436255078545,0.07284356374492144,0.02768055422307015,0,0.059819445776929846,fcfs
fcfs,72,0.009117814879579939,2.7443576412880273e-17,0.00911781487957991,0.0034647696542403662,0.0,0.005653045225339572,fcfs
fcfs,73,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,74,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,75,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,76,0.0,0.0,0.0,0.0,0.0,0.0,fcfs
fcfs,77,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,78,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,79,0.0,0.0,0.0,0.0,0.0,0.0,fcfs
fcfs,80,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,81,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,82,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,83,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,84,0.0,0.0,0.0,0.0,0.0,0.0,fcfs
fcfs,85,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,86,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,87,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,88,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,89,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,90,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,91,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,92,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,93,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,94,0.0,0.0,0.0,0.0,0,0.0,fcfs
fcfs,95,0.0,0.0,0.0,0.0,0,0.0,fcfs
edf,0,0.0,0.0,0.0,0.0,0,0.0,edf
edf,1,0.0,0.0,0.0,0.0,0,0.0,edf
edf,2,0.0,0.0,0.0,0.0,0,0.0,edf
edf,3,0.0,0.0,0.0,0.0,0,0.0,edf
edf,4,0.0,0.0,0.0,0.0,0,0.0,edf
edf,5,0.0,0.0,0.0,0.0,0,0.0,edf
edf,6,0.0,0.0,0.0,0.0,0,0.0,edf
edf,7,0.0,0.0,0.0,0.0,0,0.0,edf
edf,8,0.0,0.0,0.0,0.0,0,0.0,edf
edf,9,0.0,0.0,0.0,0.0,0,0.0,edf
edf,10,0.0,0.0,0.0,0.0,0,0.0,edf
edf,11,0.0,0.0,0.0,0.0,0,0.0,edf
edf,12,0.0,0.0,0.0,0.0,0,0.0,edf
edf,13,0.0,0.0,0.0,0.0,0,0.0,edf
edf,14,0.0,0.0,0.0,0.0,0,0.0,edf
edf,15,0.0,0.0,0.0,0.0,0,0.0,edf
edf,16,0.0,0.0,0.0,0.0,0,0.0,edf
edf,17,0.0,0.0,0.0,0.0,0,0.0,edf
edf,18,0.0,0.0,0.0,0.0,0,0.0,edf
edf,19,0.0,0.0,0.0,0.0,0,0.0,edf
edf,20,0.175,0.0,0.175,0.017499999999999998,0,0.1575,edf
edf,21,0.175,0.0,0.175,0.017499999999999998,0,0.1575,edf
edf,22,0.26249999999999996,0.0,0.26249999999999996,0.026249999999999996,0,0.23624999999999996,edf
edf,23,0.26249999999999996,0.0,0.26249999999999996,0.026249999999999996,0,0.23624999999999996,edf
edf,24,0.375,0.0,0.375,0.037500000000000006,0,0.3375,edf
edf,25,0.3896564362550785,0.014656436255078531,0.375,0.037500000000000006,0,0.35215643625507853,edf
edf,26,0.35,0.029250111400015787,0.3207498885999842,0.032074988859998425,0,0.31792501114000155,edf
edf,27,0.4187185330773794,0.04371853307737938,0.375,0.037500000000000006,0,0.3812185330773794,edf
edf,28,0.43299974528431434,0.057999745284314334,0.375,0.0675,0,0.36549974528431434,edf
edf,29,0.44703259367765896,0.07203259367765896,0.375,0.0675,0,0.37953259367765896,edf
edf,30,0.4607569874462309,0.08575698744623089,0.375,0.0675,0,0.3932569874462309,edf
edf,31,0.4741141566289058,0.09911415662890583,0.375,0.0675,0.0,0.4066141566289058,edf
edf,32,0.48704690377661364,0.11204690377661361,0.375,0.0675,0.0,0.41954690377661363,edf
edf,33,0.49126292321927634,0.12449984888059637,0.36676307433867994,0.06601735338096239,0.0,0.42524556983831396,edf
edf,34,0.5114196665181079,0.13641966651810788,0.375,0.0675,0,0.4439196665181079,edf
edf,35,0.5013726947160853,0.1477553142000606,0.35361738051602465,0.06365112849288443,0,0.4377215662232008,edf
edf,36,0.46221221387906175,0.15845825094280014,0.3037539629362616,0.05467571332852709,0.20958858700985442,-0.430817847488883,edf
edf,37,0.44380055798698625,0.1684826451280494,0.27531791285893686,0.049557224314608635,0.0,0.3942433336723776,edf
edf,38,0.525,0.1777855707609341,0.3472144292390659,0.06249859726303186,0,0.46250140273696816,edf
edf,39,0.51234515692143,0.18632719128568304,0.326017965635747,0.05868323381443445,0,0.45366192310699555,edf
edf,40,0.525,0.1940709301718759,0.3309290698281241,0.05956723256906234,0,0.4654327674309377,edf
edf,41,0.525,0.2009836275407616,0.3240163724592384,0.058322947042662915,0,0.4666770529573371,edf
edf,42,0.42183169220195416,0.2070356821609499,0.21479601004100426,0.03866328180738077,0.0,0.3831684103945734,edf
edf,43,0.4640370835550701,0.21220117820542875,0.2518359053496414,0.04533046296293545,0.14344925280407822,-0.15509039062417823,edf
edf,44,0.525,0.21645799622711454,0.3085420037728855,0.055537560679119385,0.22682567320491245,-0.4378402534987692,edf
edf,45,0.525,0.21978790787771957,0.30521209212228045,0.05493817658201048,0,0.4700618234179895,edf
edf,46,0.525,0.22217665396433872,0.3028233460356613,0.05450820228641903,0,0.47049179771358096,edf
edf,47,0.525,0.2236140055095022,0.30138599449049785,0.054249479008289615,0.0,0.4707505209917104,edf
edf,48,0.525,0.22409380755322728,0.30090619244677275,0.05416311464041909,0.0,0.4708368853595809,edf
edf,49,0.4468051420513566,0.2236140055095022,0.22319113654185438,0.04017440457753379,0.0,0.4066307374738228,edf
edf,50,0.525,0.22217665396433872,0.3028233460356613,0.05450820228641903,0.0,0.47049179771358096,edf
